rainfall,humidity,temperature,soil_moisture,irrigation,fertilizer_a,fertilizer_b,sunlight_intensity,soil_ph,pest_index,yield
164.90142459033697,88.16600760542586,28.85235509506328,90.82407161888725,100.99033154879004,126.61760464428914,126.84344656440796,241.8707082800305,5.9299286900102475,3.8469410555469588,24.339198428236386
145.85207096486445,93.34493102473321,30.81883328094026,82.95476077404344,93.86950524369153,136.67057923217848,133.7346788379125,377.1150127812363,6.142192531713793,5.8133859162968164,26.137677895592184
169.43065614302077,95.0,24.202864852361717,93.84464269827632,80.89445554880261,80.12528714857089,79.48262502429773,323.83697267490305,5.883032031600016,2.2585891719381292,11.871272612828541
195.69089569224076,95.0,28.12593847338114,100.0,70.2959483344164,127.48113139695144,126.10032591228196,276.7746841257417,6.076815388144384,3.9854932625847344,20.551848720130536
142.97539875829992,80.29576979771991,25.698714861756347,80.40111679636813,90.47334970420386,144.55337984946584,141.9853416119427,370.44810398099924,5.442554133218486,2.497127866704257,21.220024875266894
142.9758912915246,85.47159702312612,26.02574923247061,92.18182211574724,85.90228078132624,95.8071796261759,95.11036454621255,404.9463418065183,6.285317482949176,4.436358259149961,12.217360720101752
197.37638446522175,95.0,25.81521215152226,100.0,93.42789830041599,153.45144773675406,152.17165024482978,344.5020594148923,6.20048219014489,5.06426486811676,26.614438596024335
173.02304187458725,93.36856523428227,25.272018460640368,98.437438167776,89.52757702522955,128.3803801873209,128.87197159509586,388.11498188811754,5.873164547572724,3.495085847582736,21.678584189882358
135.91576842195144,87.99382766731657,27.097043255889655,79.38999956170025,95.74329072979003,105.89976288483183,105.78158851317393,414.49113031954585,6.463698267372962,1.0,18.543506871586523
166.27680130757895,95.0,25.338099767177923,97.61165016125855,71.97147182659148,118.88461844684588,120.8954476866141,402.5965781433619,6.575028055050623,4.238737776155793,12.894414623678657
136.09746921562612,81.19458840679741,27.540913651559677,78.9509918888966,99.76091098451488,131.16653825043446,127.32483310964571,415.5985811748557,5.55697605425241,4.524086262080211,22.916846231213334
136.02810739289228,85.51080543755867,26.899523781101728,81.87943348860473,82.963994070386,121.52010782824823,120.05678351827638,379.6850996428757,5.894910088573514,4.485153705954037,18.559782617475662
157.25886814698103,75.97132374374894,26.52210390626718,95.77806562234858,111.12891308937898,130.77511984892737,127.8027192152754,353.01734555606373,5.892343060085081,5.482938630186585,20.962528970868
92.60159266026606,67.65853959140837,25.184872675916804,60.28416528321415,69.66218272865649,101.58652813841267,97.77412849734591,285.9213675241133,5.824038759556454,2.7147355844211414,10.48558194923681
98.25246502460902,73.21289875041691,25.846457338863335,67.39138573878402,106.03945704747875,123.38721648072156,122.05249428500008,340.1575004748021,6.531789936772699,4.816259326540539,14.08604989331392
133.1313741227708,78.70049632700699,28.51078245165151,76.88311963913205,82.96866175193972,91.7257100619004,91.8959295420388,316.2701361873523,6.122469544490879,5.43100901497357,14.70350681531552
119.61506638996728,89.04657643664837,28.001834375248762,75.5503763718257,70.22872994578327,117.775478773026,119.91360432085895,436.8377086999126,6.094194063475756,1.8656948991921798,20.54867086420824
159.42741997785822,85.6775191035543,25.044889510402896,96.21887371876069,72.74171248918518,101.92184717070421,103.08737818127855,342.96456750270653,5.398455054237298,4.383582191102772,10.375965845178364
122.75927773436368,79.62756088682418,27.19866461085845,73.14832209774701,75.1947903770852,105.28940114820466,102.97655744213601,354.92819227137943,6.454167212083691,3.3949842027907944,14.552354723245848
107.63088895994125,77.94296957441283,28.502774246743577,74.07829517284985,86.36248919602875,144.72186350420876,146.1939554616667,372.0594150416187,5.704296642058611,3.9021727922780247,21.5074279814286
